厂家名称,芯片名称,模型名称,推断日期,图片数目,模型加载时间,图片加载时间,推断耗时,推断速度,设备端总耗时,推断结果,平台侧总耗时
NOVATEK,nt98560,mobilenet_v2,2022-08-08 17:02:06,1000,288.8290100097656,10013.0556640625,25081.94140625,39.869fps,35383.826080322266,top1:72.1% top5:91.0%,36000
NOVATEK,nt98560,resnet50,2022-08-08 17:20:19,1000,610.9290161132812,10459.0869140625,117483.484375,8.512fps,128553.50030517578,top1:70.9% top5:91.1%,130000
rockchip,RV1106,mobilenet_v2,2022-08-11 16:23:17,1000,81.4000015258789,98448.609375,12157.7509765625,82.252fps,110687.76035308838,top1:73.2% top5:90.3%,126000
rockchip,RV1106,resnet50,2022-08-11 16:26:19,1000,247.3990020751953,98469.09375,37392.2421875,26.744fps,136108.7349395752,top1:66.8% top5:87.0%,154000
rockchip,RV1106,yolov3,2022-08-11 16:33:22,500,364.7340087890625,138375.65625,78809.34375,6.344fps,217549.73400878906,Map(0.5-0.95):0.341 Map(0.5):0.563,251000
rockchip,RV1106,mobilenet_v2,2022-08-15 10:38:53,1000,82.11199951171875,98466.25,12142.1513671875,82.358fps,110690.51336669922,top1:73.2% top5:90.3%,124000
rockchip,RV1106,resnet50,2022-08-15 10:45:10,1000,245.7760009765625,98760.8828125,37382.2890625,26.751fps,136388.94787597656,top1:66.8% top5:87.0%,153000
rockchip,RV1106,yolov3,2022-08-15 10:52:16,500,364.1679992675781,138617.765625,78794.7890625,6.346fps,217776.72268676758,Map(0.5-0.95):0.341 Map(0.5):0.563,252000
CVITEK,cv1835,mobilenet_v2,2022-08-22 16:02:57,1000,653.0,9882.0,3305.0,302.572fps,13840.0,top1:0.0% top5:0.1%,24000
CVITEK,cv1835,mobilenet_v2,2022-08-22 16:03:42,1000,10.0,6431.0,3307.0,302.389fps,9748.0,top1:0.7% top5:12.7%,18000
CVITEK,cv1835,resnet50,2022-08-22 16:05:31,1000,2500.0,6435.0,20810.0,48.054fps,29745.0,top1:0.5% top5:12.8%,38000
CVITEK,cv1835,mobilenet_v2,2022-08-22 16:13:47,1000,11.0,6430.0,3295.0,303.49fps,9736.0,top1:0.7% top5:12.7%,18000
CVITEK,cv1835,mobilenet_v2,2022-08-22 16:18:59,1000,10.0,6443.0,3286.0,304.321fps,9739.0,top1:74.4% top5:88.5%,18000
CVITEK,cv1835,resnet50,2022-08-22 16:21:28,1000,42.0,6451.0,20823.0,48.024fps,27316.0,top1:75.8% top5:89.3%,36000
CVITEK,cv1835,mobilenet_v2,2022-08-22 16:25:46,1000,10.0,6440.0,3252.0,307.503fps,9702.0,top1:74.4% top5:88.5%,18000
CVITEK,cv1835,resnet50,2022-08-22 16:28:14,1000,39.0,6406.0,20802.0,48.072fps,27247.0,top1:75.8% top5:89.3%,36000
SigmaStar,SSC377DE,mobilenet_v2,2022-08-24 15:39:01,1000,3255.98388671875,135628.671875,9846.8935546875,101.555fps,148731.54931640625,top1:73.9% top5:91.5%,150000
SigmaStar,SSC377DE,resnet50,2022-08-24 15:46:00,1000,13328.388671875,110855.421875,33431.58984375,29.912fps,157615.400390625,top1:65.0% top5:87.7%,159000
SigmaStar,SSC377DE,yolov3,2022-08-24 15:59:22,500,1344.0369873046875,94231.0859375,89021.8046875,5.617fps,184596.9276123047,Map(0.5-0.95):0.338 Map(0.5):0.546,218000
NOVATEK,nt98560,mobilenet_v2,2022-08-29 11:23:53,1000,811.551025390625,12972.884765625,20683.5234375,48.348fps,34467.959228515625,top1:71.2% top5:90.8%,35000
NOVATEK,nt98560,resnet50,2022-08-29 11:25:17,1000,2316.154052734375,10080.564453125,57321.6875,17.445fps,69718.40600585938,top1:67.0% top5:87.2%,71000
NOVATEK,nt98560,resnet50,2022-08-31 14:38:20,1000,1728.634033203125,13029.2607421875,54355.91015625,18.397fps,69113.80493164062,top1:66.1% top5:87.3%,71000
Ingenic,T40XP,mobilenet_v2,2022-10-09 10:12:59,1000,423.0,12681.0,13035.0,76.717fps,26139.0,top1:69.4% top5:89.4%,28000
Ingenic,T40XP,resnet50,2022-10-09 10:14:43,1000,2649.0,5857.0,40065.0,24.959fps,48571.0,top1:66.2% top5:87.7%,50000
Ingenic,T40XP,yolov3,2022-10-09 14:59:24,263,350.0,8.643555025307566e+18,8.557191135724831e+18,0.0fps,1.7200746161032397e+19,Map(0.5-0.95):0.354 Map(0.5):0.587,63000
Ingenic,T40XP,yolov3,2022-10-09 17:06:11,500,6607.0,26840.0,91248.0,5.48fps,124695.0,Map(0.5-0.95):0.364 Map(0.5):0.602,128000
Ingenic,T40XP,mobilenet_v2,2022-11-08 14:27:29,1000,456.0,12766.0,12556.0,79.643fps,25778.0,top1:69.4% top5:89.4%,27000
Ingenic,T40XP,mobilenet_v2,2022-11-25 15:34:53,1000,467.0,13158.0,13013.0,76.846fps,26638.0,top1:69.4% top5:89.4%,28000
Ingenic,T40XP,mobilenet_v2,2022-11-25 15:53:07,1000,18.0,5826.0,12752.0,78.419fps,18596.0,top1:69.4% top5:89.4%,20000
Ingenic,T40XP,mobilenet_v2,2022-11-25 16:00:26,1000,17.0,5834.0,12871.0,77.694fps,18722.0,top1:69.4% top5:89.4%,20000
Ingenic,T40XP,mobilenet_v2,2022-12-12 10:03:34,1000,39.0,6098.0,12552.0,79.669fps,18689.0,top1:69.4% top5:89.4%,20000
Ingenic,T40XP,mobilenet_v2,2022-12-12 10:05:04,1000,18.0,5947.0,12402.0,80.632fps,18367.0,top1:69.4% top5:89.4%,20000
Ingenic,T40XP,mobilenet_v2,2022-12-12 10:07:11,1000,17.0,5914.0,12571.0,79.548fps,18502.0,top1:69.4% top5:89.4%,20000
Ingenic,T40XP,mobilenet_v2,2022-12-12 14:22:50,1000,18.0,5815.0,12549.0,79.688fps,18382.0,top1:69.4% top5:89.4%,20000
